city,pincode,district,state,country
Lingalapadu,524240,SPSR NELLORE,ANDHRA PRADESH,india
Rangasamudram,524240,SPSR NELLORE,ANDHRA PRADESH,india
Tadakalur,524240,SPSR NELLORE,ANDHRA PRADESH,india
Kapparallatippa,524152,SPSR NELLORE,ANDHRA PRADESH,india
Zuvvaladinne,524152,SPSR NELLORE,ANDHRA PRADESH,india
Appasamudram,524222,SPSR NELLORE,ANDHRA PRADESH,india
Lakshmipuram-D,524222,SPSR NELLORE,ANDHRA PRADESH,india
Mandalanaidupalli,524222,SPSR NELLORE,ANDHRA PRADESH,india
Gudinarava,524236,SPSR NELLORE,ANDHRA PRADESH,india
Kondayapalem-G,524236,SPSR NELLORE,ANDHRA PRADESH,india
Virur,524236,SPSR NELLORE,ANDHRA PRADESH,india
Annavaram,524223,SPSR NELLORE,ANDHRA PRADESH,india
Chinnakraka,524223,SPSR NELLORE,ANDHRA PRADESH,india
Kothapalli-J,524223,SPSR NELLORE,ANDHRA PRADESH,india
Lingaraju Agraharam,524223,SPSR NELLORE,ANDHRA PRADESH,india
Rajupalem,524224,SPSR NELLORE,ANDHRA PRADESH,india
Chintaladevi,524239,SPSR NELLORE,ANDHRA PRADESH,india
Mudimurthypuram,524239,SPSR NELLORE,ANDHRA PRADESH,india
Veligandla,524239,SPSR NELLORE,ANDHRA PRADESH,india
Saipeta,524239,SPSR NELLORE,ANDHRA PRADESH,india
Kampasamudram,524230,SPSR NELLORE,ANDHRA PRADESH,india
Timmanaidupeta,524230,SPSR NELLORE,ANDHRA PRADESH,india
Bodasi Idayapalli,524310,SPSR NELLORE,ANDHRA PRADESH,india
Narayanappapeta,524310,SPSR NELLORE,ANDHRA PRADESH,india
Nemalladinna,524310,SPSR NELLORE,ANDHRA PRADESH,india
Ananthapuram-S,524225,SPSR NELLORE,ANDHRA PRADESH,india
Krakatur,524225,SPSR NELLORE,ANDHRA PRADESH,india
Kummarakondur,524225,SPSR NELLORE,ANDHRA PRADESH,india
Parikota,524225,SPSR NELLORE,ANDHRA PRADESH,india
Peddakondur,524225,SPSR NELLORE,ANDHRA PRADESH,india
Turupur,524225,SPSR NELLORE,ANDHRA PRADESH,india
Gaddamvaripalli,524226,SPSR NELLORE,ANDHRA PRADESH,india
Dakkanuru,524227,SPSR NELLORE,ANDHRA PRADESH,india
Damncherla,524227,SPSR NELLORE,ANDHRA PRADESH,india
Vempadu,524227,SPSR NELLORE,ANDHRA PRADESH,india
Gottigundala,524228,SPSR NELLORE,ANDHRA PRADESH,india
Tellapadu-V,524228,SPSR NELLORE,ANDHRA PRADESH,india
Bedusupalli,524302,SPSR NELLORE,ANDHRA PRADESH,india
Varikuntapadu,524302,SPSR NELLORE,ANDHRA PRADESH,india
Chavatabheemavaram,524304,SPSR NELLORE,ANDHRA PRADESH,india
Pandipadu,524304,SPSR NELLORE,ANDHRA PRADESH,india
Panugodu,524304,SPSR NELLORE,ANDHRA PRADESH,india
Tellapadu-A,524304,SPSR NELLORE,ANDHRA PRADESH,india
Cherloyadavalli,524322,SPSR NELLORE,ANDHRA PRADESH,india
Pynapuram,524346,SPSR NELLORE,ANDHRA PRADESH,india
Chellayapalem,524305,SPSR NELLORE,ANDHRA PRADESH,india
Rebala,524305,SPSR NELLORE,ANDHRA PRADESH,india
Reddypalem,524305,SPSR NELLORE,ANDHRA PRADESH,india
Kallurpalli,524003,SPSR NELLORE,ANDHRA PRADESH,india
P.S.R Nagar,524003,SPSR NELLORE,ANDHRA PRADESH,india
Siddipuram,524306,SPSR NELLORE,ANDHRA PRADESH,india
Peddaputtedu,524317,SPSR NELLORE,ANDHRA PRADESH,india
Turimerla,524317,SPSR NELLORE,ANDHRA PRADESH,india
Kammavaripalem-G,524234,SPSR NELLORE,ANDHRA PRADESH,india
Kavali Mustapuram,524234,SPSR NELLORE,ANDHRA PRADESH,india
Komarika,524314,SPSR NELLORE,ANDHRA PRADESH,india
Lebur,524314,SPSR NELLORE,ANDHRA PRADESH,india
Kona Samudram,524307,SPSR NELLORE,ANDHRA PRADESH,india
Peda Kandla,524307,SPSR NELLORE,ANDHRA PRADESH,india
Damaramadugu,524137,SPSR NELLORE,ANDHRA PRADESH,india
Inamadugu,524137,SPSR NELLORE,ANDHRA PRADESH,india
Pothireddypalem,524137,SPSR NELLORE,ANDHRA PRADESH,india
Krishnapatnam,524344,SPSR NELLORE,ANDHRA PRADESH,india
Gangapatnam,524313,SPSR NELLORE,ANDHRA PRADESH,india
Ramapuram,524366,SPSR NELLORE,ANDHRA PRADESH,india
Hasanapuram,524308,SPSR NELLORE,ANDHRA PRADESH,india
Jangaladoruvu,524308,SPSR NELLORE,ANDHRA PRADESH,india
Peramana,524308,SPSR NELLORE,ANDHRA PRADESH,india
Tarunavoya,524308,SPSR NELLORE,ANDHRA PRADESH,india
Kotha Kodur,524002,SPSR NELLORE,ANDHRA PRADESH,india
Mahalakshmipuram,524002,SPSR NELLORE,ANDHRA PRADESH,india
Ntr Nagar,524002,SPSR NELLORE,ANDHRA PRADESH,india
Eduru,524311,SPSR NELLORE,ANDHRA PRADESH,india
Varini,524318,SPSR NELLORE,ANDHRA PRADESH,india
Koniki,534437,Eluru,ANDHRA PRADESH,india
Racherlapadu,524319,SPSR NELLORE,ANDHRA PRADESH,india
Naidupalem,524319,SPSR NELLORE,ANDHRA PRADESH,india
Nagandla,523190,Bapatla,ANDHRA PRADESH,india
Pusapadu,523190,Bapatla,ANDHRA PRADESH,india
Bodavada,523167,Bapatla,ANDHRA PRADESH,india
Kunkalamarru,523168,Bapatla,ANDHRA PRADESH,india
Chinanandipadu,523169,Bapatla,ANDHRA PRADESH,india
Komaranenivaripalem,523169,Bapatla,ANDHRA PRADESH,india
Nagulapalem,523169,Bapatla,ANDHRA PRADESH,india
Papayapalem,523157,Bapatla,ANDHRA PRADESH,india
Timmasamudram,523185,PRAKASAM,ANDHRA PRADESH,india
Timidithapadu,523170,Bapatla,ANDHRA PRADESH,india
Desaipet,523187,Bapatla,ANDHRA PRADESH,india
Ayyaparajupalem,523271,PRAKASAM,ANDHRA PRADESH,india
Chirrikurapadu,523271,PRAKASAM,ANDHRA PRADESH,india
Netivaripalem,523271,PRAKASAM,ANDHRA PRADESH,india
Polireddipalem,523270,PRAKASAM,ANDHRA PRADESH,india
Mogilicherla,523114,PRAKASAM,ANDHRA PRADESH,india
Chinapavani,523115,PRAKASAM,ANDHRA PRADESH,india
Chinalatrip,523115,PRAKASAM,ANDHRA PRADESH,india
Chavatapalem,523109,PRAKASAM,ANDHRA PRADESH,india
Muppalla,523109,PRAKASAM,ANDHRA PRADESH,india
Ravulakollu,523109,PRAKASAM,ANDHRA PRADESH,india
Pandalapadu,523109,PRAKASAM,ANDHRA PRADESH,india
Mocherla,523291,PRAKASAM,ANDHRA PRADESH,india
Pakala,523101,PRAKASAM,ANDHRA PRADESH,india
Kanumalla,523101,PRAKASAM,ANDHRA PRADESH,india
Old Singarayakonda,523101,PRAKASAM,ANDHRA PRADESH,india
Somarajupalli,523101,PRAKASAM,ANDHRA PRADESH,india
Chintalapalem,523274,PRAKASAM,ANDHRA PRADESH,india
Vaviletipadu,523274,PRAKASAM,ANDHRA PRADESH,india
Velagapudi,523274,PRAKASAM,ANDHRA PRADESH,india
Bhimavaram,523292,PRAKASAM,ANDHRA PRADESH,india
Paletipadu,523279,PRAKASAM,ANDHRA PRADESH,india
Sameeripalem,523116,PRAKASAM,ANDHRA PRADESH,india
Ammapalem,523116,PRAKASAM,ANDHRA PRADESH,india
Ayyavaripalli,523116,PRAKASAM,ANDHRA PRADESH,india
Karumanchi,523272,PRAKASAM,ANDHRA PRADESH,india
Yerazerla,523272,PRAKASAM,ANDHRA PRADESH,india
Kodigumpala,523110,PRAKASAM,ANDHRA PRADESH,india
Tumativaripalem,523110,PRAKASAM,ANDHRA PRADESH,india
Ayyalurivaripalli,523112,PRAKASAM,ANDHRA PRADESH,india
Chintapadu,523112,PRAKASAM,ANDHRA PRADESH,india
Kovilampadu,523112,PRAKASAM,ANDHRA PRADESH,india
Nallamadugula,523112,PRAKASAM,ANDHRA PRADESH,india
Pathapadu,523246,PRAKASAM,ANDHRA PRADESH,india
Vemulapadu,523246,PRAKASAM,ANDHRA PRADESH,india
Kutagundla,523227,PRAKASAM,ANDHRA PRADESH,india
Munagapadu,523241,PRAKASAM,ANDHRA PRADESH,india
Ats Palem,523304,PRAKASAM,ANDHRA PRADESH,india
Potlapadu,523304,PRAKASAM,ANDHRA PRADESH,india
Sankarapuram,523265,PRAKASAM,ANDHRA PRADESH,india
Vengalayapalli,523117,PRAKASAM,ANDHRA PRADESH,india
Thalakondapadu,523117,PRAKASAM,ANDHRA PRADESH,india
Timmareddypalli,523228,PRAKASAM,ANDHRA PRADESH,india
Valicherla,523228,PRAKASAM,ANDHRA PRADESH,india
Venkateswarapuram,523111,PRAKASAM,ANDHRA PRADESH,india
Narramarella,523108,PRAKASAM,ANDHRA PRADESH,india
Bukkapuram,523108,PRAKASAM,ANDHRA PRADESH,india
Chilamkur,523108,PRAKASAM,ANDHRA PRADESH,india
Kattakindipalli,523108,PRAKASAM,ANDHRA PRADESH,india
Vaggampalli,523108,PRAKASAM,ANDHRA PRADESH,india
Dirisavancha,523245,PRAKASAM,ANDHRA PRADESH,india
Gollapalli,523247,PRAKASAM,ANDHRA PRADESH,india
Kellampalli,523253,PRAKASAM,ANDHRA PRADESH,india
Zuvvaleru,523245,PRAKASAM,ANDHRA PRADESH,india
Botlapalem,523252,PRAKASAM,ANDHRA PRADESH,india
Kothayeruvaripalli,523254,PRAKASAM,ANDHRA PRADESH,india
Ballipalli,523230,PRAKASAM,ANDHRA PRADESH,india
Kancharlavaripalem,523230,PRAKASAM,ANDHRA PRADESH,india
Nippatlapadu,523253,PRAKASAM,ANDHRA PRADESH,india
Boddikurapadu,523253,PRAKASAM,ANDHRA PRADESH,india
Gokulam,523224,PRAKASAM,ANDHRA PRADESH,india
Vedullacheruvu,523224,PRAKASAM,ANDHRA PRADESH,india
Ramalingapuram,523224,PRAKASAM,ANDHRA PRADESH,india
Bommnampadu,523201,Bapatla,ANDHRA PRADESH,india
Chakrayapalem,523201,Bapatla,ANDHRA PRADESH,india
Khambampadu,523201,PRAKASAM,ANDHRA PRADESH,india
Venkatapuram,523201,Bapatla,ANDHRA PRADESH,india
Chavatapalem,523180,PRAKASAM,ANDHRA PRADESH,india
Pulikonda,523226,PRAKASAM,ANDHRA PRADESH,india
Gonugunta,523226,PRAKASAM,ANDHRA PRADESH,india
Janakavaram,523214,Bapatla,ANDHRA PRADESH,india
Surepalli,523303,Bapatla,ANDHRA PRADESH,india
Kunduru,523303,Bapatla,ANDHRA PRADESH,india
Paritalavaripalem,523303,Bapatla,ANDHRA PRADESH,india
Alluru,523286,PRAKASAM,ANDHRA PRADESH,india
Koppole,523286,PRAKASAM,ANDHRA PRADESH,india
Motumala,523286,PRAKASAM,ANDHRA PRADESH,india
Bollavarappadu,523212,Bapatla,ANDHRA PRADESH,india
Daivalaravuru,523212,Bapatla,ANDHRA PRADESH,india
Thimmana Palem,523212,Bapatla,ANDHRA PRADESH,india
Doddavarappadu,523211,PRAKASAM,ANDHRA PRADESH,india
Guravareddipalem,523211,PRAKASAM,ANDHRA PRADESH,india
Inamanamelluru,523211,PRAKASAM,ANDHRA PRADESH,india
Ballikurva,523301,Bapatla,ANDHRA PRADESH,india
Jonnatali,523301,Bapatla,ANDHRA PRADESH,india
Vinjanampadu,523301,Bapatla,ANDHRA PRADESH,india
Bollapalli,523261,Bapatla,ANDHRA PRADESH,india
Reningavaram,523261,Bapatla,ANDHRA PRADESH,india
Brahmananidamanuru,523183,PRAKASAM,ANDHRA PRADESH,india
Yendluru,523225,PRAKASAM,ANDHRA PRADESH,india
Turakapalem,523264,PRAKASAM,ANDHRA PRADESH,india
Vittalapuram,523264,PRAKASAM,ANDHRA PRADESH,india
Mannepalli,523264,PRAKASAM,ANDHRA PRADESH,india
Nagambotlavaripalem,523264,PRAKASAM,ANDHRA PRADESH,india
Chandrapadu,523263,PRAKASAM,ANDHRA PRADESH,india
Mukthinuthalapadu,523262,PRAKASAM,ANDHRA PRADESH,india
Gopavaram,534318,WEST GODAVARI,ANDHRA PRADESH,india
Lnd Peta,534318,Eluru,ANDHRA PRADESH,india
Reddinagampalem,534318,Eluru,ANDHRA PRADESH,india
GANGOLE.,534318,WEST GODAVARI,ANDHRA PRADESH,india
Guddigudem,534316,WEST GODAVARI,ANDHRA PRADESH,india
Cherukumilli,534316,WEST GODAVARI,ANDHRA PRADESH,india
Nandigudem,534316,WEST GODAVARI,ANDHRA PRADESH,india
Velivennu,534329,WEST GODAVARI,ANDHRA PRADESH,india
Daravaram,534301,WEST GODAVARI,ANDHRA PRADESH,india
Kalavalapalli,534301,WEST GODAVARI,ANDHRA PRADESH,india
Markondapadu,534301,WEST GODAVARI,ANDHRA PRADESH,india
Paidipaka,534315,WEST GODAVARI,ANDHRA PRADESH,india
D.Muppavaram,534302,WEST GODAVARI,ANDHRA PRADESH,india
Atlapadu,534302,WEST GODAVARI,ANDHRA PRADESH,india
Vijjeswaram,534302,WEST GODAVARI,ANDHRA PRADESH,india
Tyajampudi,534305,WEST GODAVARI,ANDHRA PRADESH,india
Pochavaram,534341,WEST GODAVARI,ANDHRA PRADESH,india
Tadipudi,534341,WEST GODAVARI,ANDHRA PRADESH,india
Malakapalli,534340,WEST GODAVARI,ANDHRA PRADESH,india
Chidipi,534340,WEST GODAVARI,ANDHRA PRADESH,india
Jaggannapeta,534102,WEST GODAVARI,ANDHRA PRADESH,india
Kasipadu,534196,WEST GODAVARI,ANDHRA PRADESH,india
Pasalapudi,534156,WEST GODAVARI,ANDHRA PRADESH,india
Aredu,534198,WEST GODAVARI,ANDHRA PRADESH,india
Apparaopeta,534145,WEST GODAVARI,ANDHRA PRADESH,india
Jagannadhapuram,534145,WEST GODAVARI,ANDHRA PRADESH,india
Prakasaraopalem,534112,WEST GODAVARI,ANDHRA PRADESH,india
Singarajupalem,534112,WEST GODAVARI,ANDHRA PRADESH,india
Mandalaparru,534195,Eluru,ANDHRA PRADESH,india
K.Pentapadu,534166,WEST GODAVARI,ANDHRA PRADESH,india
Jetlapalem,534166,WEST GODAVARI,ANDHRA PRADESH,india
Racharla,534166,WEST GODAVARI,ANDHRA PRADESH,india
Yanalapalli,534166,WEST GODAVARI,ANDHRA PRADESH,india
Ardhavaram,534197,Eluru,ANDHRA PRADESH,india
Allampuram,534146,WEST GODAVARI,ANDHRA PRADESH,india
Kommugudem,534102,WEST GODAVARI,ANDHRA PRADESH,india
Uppakapadu,534411,WEST GODAVARI,ANDHRA PRADESH,india
Yerramalla,534411,WEST GODAVARI,ANDHRA PRADESH,india
Kakarlamudi,534165,WEST GODAVARI,ANDHRA PRADESH,india
Gopapuram,522310,Bapatla,ANDHRA PRADESH,india
Bhavanamvaripalem,522311,Bapatla,ANDHRA PRADESH,india
Bhoolayapalem,522311,Bapatla,ANDHRA PRADESH,india
Kovelamudi,522212,GUNTUR,ANDHRA PRADESH,india
Vellaluru,522212,GUNTUR,ANDHRA PRADESH,india
Gollamudipadu,522212,GUNTUR,ANDHRA PRADESH,india
Gundavaram,522212,GUNTUR,ANDHRA PRADESH,india
Ramabhotlapalem,522309,Bapatla,ANDHRA PRADESH,india
Arepalle Agraharam,522309,Bapatla,ANDHRA PRADESH,india
Gullapalli,522309,Bapatla,ANDHRA PRADESH,india
Venigallavaripalem,522258,Bapatla,ANDHRA PRADESH,india
Ilavaram,522259,Bapatla,ANDHRA PRADESH,india
Gudavalli,522259,Bapatla,ANDHRA PRADESH,india
Nalamothuvaripalem,522111,Bapatla,ANDHRA PRADESH,india
Pedagollapalem,522111,Bapatla,ANDHRA PRADESH,india
Pragnam,522262,Bapatla,ANDHRA PRADESH,india
Bodipalem,522315,GUNTUR,ANDHRA PRADESH,india
Nanduru,522315,GUNTUR,ANDHRA PRADESH,india
Muttupalli Agraharam,522268,Bapatla,ANDHRA PRADESH,india
Alluru,522314,Bapatla,ANDHRA PRADESH,india
Aremanda,522316,GUNTUR,ANDHRA PRADESH,india
Chinalingayapalem,522124,GUNTUR,ANDHRA PRADESH,india
Kankatapalem,522317,Bapatla,ANDHRA PRADESH,india
Moparru,522312,Bapatla,ANDHRA PRADESH,india
Annavaram,522301,GUNTUR,ANDHRA PRADESH,india
Chadalavada,522301,Bapatla,ANDHRA PRADESH,india
Valiveru,522211,Bapatla,ANDHRA PRADESH,india
Allamudi,522256,Bapatla,ANDHRA PRADESH,india
Visweswaram,522264,Bapatla,ANDHRA PRADESH,india
Tummala,522264,Bapatla,ANDHRA PRADESH,india
Vallabhapuram,522308,GUNTUR,ANDHRA PRADESH,india
Kopalle,522307,GUNTUR,ANDHRA PRADESH,india
Krapa,522324,Bapatla,ANDHRA PRADESH,india
Katevaram,522202,GUNTUR,ANDHRA PRADESH,india
Pedaravuru,522202,GUNTUR,ANDHRA PRADESH,india
Athota,522306,GUNTUR,ANDHRA PRADESH,india
Guddikayalanka,522265,Bapatla,ANDHRA PRADESH,india
Nalluru,522265,Bapatla,ANDHRA PRADESH,india
Nallurupalem,522265,Bapatla,ANDHRA PRADESH,india
Vuppudi,522265,Bapatla,ANDHRA PRADESH,india
Kiskindapalem,505325,Bapatla,ANDHRA PRADESH,india
Amudarlanka,522257,Bapatla,ANDHRA PRADESH,india
Kuchellapadu,522261,Bapatla,ANDHRA PRADESH,india
Boddapadu,521151,KRISHNA,ANDHRA PRADESH,india
Vanukuru,521151,KRISHNA,ANDHRA PRADESH,india
Uppaluru,521151,KRISHNA,ANDHRA PRADESH,india
Chodavaram,521139,KRISHNA,ANDHRA PRADESH,india
Pedaogirala,521245,KRISHNA,ANDHRA PRADESH,india
Nugondapalli,521211,Eluru,ANDHRA PRADESH,india
Vattigudipadu,521211,Eluru,ANDHRA PRADESH,india
Zakkulanekkalam,521102,KRISHNA,ANDHRA PRADESH,india
Popuru,521182,NTR,ANDHRA PRADESH,india
Veladikothapalem,521182,NTR,ANDHRA PRADESH,india
Gudimetla,521182,NTR,ANDHRA PRADESH,india
Bandipalem,521178,NTR,ANDHRA PRADESH,india
Konakanchi,521178,NTR,ANDHRA PRADESH,india
Gopavarapugudem,521101,KRISHNA,ANDHRA PRADESH,india
Budavada,521175,NTR,ANDHRA PRADESH,india
Chennaraopalem,521181,NTR,ANDHRA PRADESH,india
Vellanki,521181,NTR,ANDHRA PRADESH,india
Jaccampudi,520012,NTR,ANDHRA PRADESH,india
Chevitikallu,521180,NTR,ANDHRA PRADESH,india
Damuluru,521180,NTR,ANDHRA PRADESH,india
Putrela,521227,NTR,ANDHRA PRADESH,india
Ganugapadu,521227,NTR,ANDHRA PRADESH,india
Vemireddipalle,521227,NTR,ANDHRA PRADESH,india
Ilaprolu,521228,NTR,ANDHRA PRADESH,india
Vedadri,521457,NTR,ANDHRA PRADESH,india
Saipuram,521256,KRISHNA,ANDHRA PRADESH,india
Madhurapuram,521247,KRISHNA,ANDHRA PRADESH,india
Guruvindapalli,521247,KRISHNA,ANDHRA PRADESH,india
Srirangapuram,521247,KRISHNA,ANDHRA PRADESH,india
China Nandigama,521230,NTR,ANDHRA PRADESH,india
Kuntamukkala,521230,NTR,ANDHRA PRADESH,india
Pulluru,521230,NTR,ANDHRA PRADESH,india
Nawabpet,521185,NTR,ANDHRA PRADESH,india
Jonnalagadda,521184,NTR,ANDHRA PRADESH,india
Sivapuram,521190,NTR,ANDHRA PRADESH,india
Gummadidurru,521190,NTR,ANDHRA PRADESH,india
Mundlapadu,521190,NTR,ANDHRA PRADESH,india
Subbayyagudem,521190,NTR,ANDHRA PRADESH,india
Bhadrirajupalem,521163,KRISHNA,ANDHRA PRADESH,india
